cell_tag,beta,kappa,c,position,h_joint,h_minus_i,h_cond,h_cond_ci_lo,h_cond_ci_hi,n_episodes,verdict
b0.50_k0.50_c0.50,0.5,0.5,0.5,0,8.86896935011062,6.956871573900425,1.912097776210194,1.817838238019296,1.8732933696466614,10000,symmetric_only
b0.50_k0.50_c0.50,0.5,0.5,0.5,1,8.86896935011062,6.687654676972237,2.181314673138383,2.0887802585384643,2.139079293347502,10000,symmetric_only
b0.50_k0.50_c0.50,0.5,0.5,0.5,2,8.86896935011062,6.675353600151047,2.193615749959572,2.100662390129498,2.1486977760332753,10000,symmetric_only
b0.50_k0.50_c0.50,0.5,0.5,0.5,3,8.86896935011062,6.667162929112787,2.2018064209978325,2.110100723724942,2.158321639694694,10000,symmetric_only
b0.50_k0.90_c0.50,0.5,0.9,0.5,0,9.578292491143175,7.603577992196103,1.9747144989470726,1.891254840422841,1.9480319393439878,10000,asymmetric_only
b0.50_k0.90_c0.50,0.5,0.9,0.5,1,9.578292491143175,7.137962223971824,2.440330267171351,2.363849088462587,2.387769669155015,10000,asymmetric_only
b0.50_k0.90_c0.50,0.5,0.9,0.5,2,9.578292491143175,7.147949441329445,2.4303430498137306,2.354178048114994,2.3777867713413463,10000,asymmetric_only
b0.50_k0.90_c0.50,0.5,0.9,0.5,3,9.578292491143175,7.132963049818888,2.4453294413242874,2.369687641844054,2.392380463917627,10000,asymmetric_only
b0.90_k0.50_c0.50,0.9,0.5,0.5,0,8.86896935011062,6.956871573900425,1.912097776210194,1.817838238019296,1.8732933696466614,10000,symmetric_only
b0.90_k0.50_c0.50,0.9,0.5,0.5,1,8.86896935011062,6.687654676972237,2.181314673138383,2.0887802585384643,2.139079293347502,10000,symmetric_only
b0.90_k0.50_c0.50,0.9,0.5,0.5,2,8.86896935011062,6.675353600151047,2.193615749959572,2.100662390129498,2.1486977760332753,10000,symmetric_only
b0.90_k0.50_c0.50,0.9,0.5,0.5,3,8.86896935011062,6.667162929112787,2.2018064209978325,2.110100723724942,2.158321639694694,10000,symmetric_only
b0.90_k0.90_c0.50,0.9,0.9,0.5,0,9.578292491143175,7.603577992196103,1.9747144989470726,1.891254840422841,1.9480319393439878,10000,asymmetric_only
b0.90_k0.90_c0.50,0.9,0.9,0.5,1,9.578292491143175,7.137962223971824,2.440330267171351,2.363849088462587,2.387769669155015,10000,asymmetric_only
b0.90_k0.90_c0.50,0.9,0.9,0.5,2,9.578292491143175,7.147949441329445,2.4303430498137306,2.354178048114994,2.3777867713413463,10000,asymmetric_only
b0.90_k0.90_c0.50,0.9,0.9,0.5,3,9.578292491143175,7.132963049818888,2.4453294413242874,2.369687641844054,2.392380463917627,10000,asymmetric_only
