iteration,pool_size,support_size,eq_payoff,br_payoff,improvement,support
1,9,3,1754.88,1881.94,127.069,3:0.290|5:0.582|6:0.128
2,10,4,2017.89,2042.72,24.8249,0:0.584|3:0.163|4:0.201|8:0.052
3,11,4,1976.37,2292.8,316.4279,0:0.014|2:0.467|7:0.009|9:0.510
4,12,3,2086.3,2236.1,149.7999,5:0.473|9:0.002|10:0.526
5,13,3,1611.56,1761.56,150.0038,2:0.151|5:0.627|7:0.222
6,14,5,1924.69,2137.89,213.2046,4:0.091|8:0.091|9:0.251|12:0.067|13:0.501
7,15,4,2141.54,2263.97,122.432,0:0.467|3:0.043|8:0.142|14:0.349
8,16,4,2216.96,2341.92,124.9614,0:0.352|10:0.375|12:0.198|15:0.075
9,17,3,2221.09,2341.93,120.8412,0:0.232|13:0.118|15:0.650
10,18,5,2027.83,2049.9,22.0731,0:0.004|4:0.023|5:0.555|8:0.202|12:0.215
11,19,4,1687.85,1805.0,117.1504,1:0.184|2:0.536|5:0.211|18:0.069
12,20,6,1905.04,1943.14,38.0978,0:0.349|3:0.139|5:0.116|6:0.142|12:0.156|19:0.098
13,21,4,1984.4,2082.86,98.4609,0:0.545|15:0.021|18:0.346|19:0.089
14,22,3,2131.3,2434.82,303.5225,11:0.012|14:0.591|19:0.397
15,23,5,2193.08,2356.69,163.61,0:0.116|2:0.104|10:0.160|15:0.462|20:0.159
16,24,5,2077.98,2345.66,267.6823,0:0.421|5:0.004|12:0.267|16:0.090|21:0.218
17,25,5,1921.21,2107.36,186.1496,3:0.382|5:0.352|12:0.033|20:0.150|22:0.083
18,26,6,2316.61,2464.77,148.1649,0:0.302|9:0.154|10:0.094|14:0.052|21:0.168|23:0.231
19,27,5,2245.23,2394.8,149.5637,0:0.321|15:0.232|16:0.323|24:0.010|25:0.114
20,28,6,2150.2,2359.28,209.0867,0:0.306|3:0.356|13:0.030|15:0.204|20:0.057|26:0.047
21,29,6,1955.23,2028.4,73.1699,0:0.217|6:0.123|17:0.037|20:0.269|25:0.065|28:0.289
22,30,5,2053.7,2206.43,152.7239,3:0.271|13:0.437|15:0.194|27:0.068|29:0.031
23,31,5,2173.6,2350.71,177.1098,0:0.235|2:0.116|3:0.484|13:0.050|24:0.115
24,32,5,2175.55,2405.65,230.0993,0:0.279|3:0.186|20:0.093|24:0.286|26:0.155
25,33,5,2025.34,2082.3,56.9661,6:0.118|14:0.175|16:0.122|20:0.486|32:0.099
26,34,5,2080.22,2268.01,187.7892,0:0.285|11:0.055|13:0.147|14:0.298|25:0.214
27,35,6,2183.78,2369.16,185.3795,0:0.280|13:0.117|16:0.233|25:0.106|27:0.244|30:0.020
28,36,7,2185.05,2396.13,211.0795,13:0.179|17:0.340|20:0.153|21:0.014|24:0.022|30:0.258|32:0.033
29,37,8,2100.05,2334.97,234.9111,2:0.014|5:0.136|13:0.225|23:0.034|24:0.112|25:0.208|32:0.067|35:0.204
30,38,5,2140.43,2405.54,265.1163,19:0.028|20:0.350|21:0.024|27:0.490|32:0.108
31,39,8,2312.47,2384.13,71.6612,0:0.051|3:0.114|15:0.131|17:0.169|20:0.263|23:0.018|29:0.210|37:0.044
32,40,5,2148.46,2330.39,181.9318,2:0.164|3:0.084|9:0.329|12:0.212|20:0.210
33,41,6,2027.7,2145.74,118.0476,4:0.137|14:0.063|19:0.525|21:0.098|30:0.032|34:0.145
34,42,7,2292.39,2399.15,106.7588,10:0.117|15:0.083|16:0.184|20:0.317|24:0.124|34:0.124|40:0.050
35,43,6,2286.15,2407.08,120.9262,0:0.299|10:0.106|26:0.050|33:0.067|39:0.104|41:0.375
36,44,6,2117.92,2375.39,257.4731,2:0.364|10:0.137|12:0.090|21:0.003|23:0.055|40:0.352
37,45,7,2163.21,2268.57,105.3638,0:0.164|5:0.171|13:0.064|24:0.168|25:0.085|27:0.046|37:0.303
38,46,7,2212.84,2419.24,206.3992,0:0.422|8:0.007|23:0.079|32:0.091|36:0.222|40:0.162|45:0.017
39,47,6,2149.26,2365.15,215.8938,0:0.246|10:0.333|12:0.122|13:0.137|16:0.111|35:0.051
40,48,7,2138.52,2279.88,141.3595,0:0.328|8:0.127|12:0.084|19:0.140|23:0.157|25:0.065|36:0.098
41,49,4,2274.53,2306.89,32.3651,0:0.263|17:0.092|20:0.127|42:0.519
42,50,5,2205.55,2283.64,78.0863,0:0.403|25:0.250|26:0.185|32:0.026|40:0.136
43,51,6,2120.09,2325.47,205.3778,0:0.180|13:0.204|36:0.264|37:0.166|38:0.090|44:0.096
44,52,6,2291.84,2303.63,11.7885,13:0.002|19:0.030|20:0.288|30:0.102|41:0.078|48:0.501
45,53,6,2127.0,2374.22,247.2189,2:0.374|9:0.017|12:0.235|23:0.234|26:0.123|39:0.017
46,54,6,2211.96,2361.83,149.8763,0:0.369|9:0.029|29:0.193|38:0.185|42:0.072|52:0.151
47,55,6,2228.14,2342.78,114.6343,0:0.323|2:0.008|17:0.277|29:0.142|30:0.245|36:0.005
48,56,8,2143.64,2329.88,186.2366,0:0.109|2:0.155|20:0.144|34:0.146|38:0.057|42:0.141|46:0.059|47:0.190
49,57,6,2147.52,2312.87,165.3584,13:0.199|20:0.172|21:0.216|40:0.073|47:0.093|48:0.248
50,58,6,2303.53,2416.99,113.4554,20:0.357|27:0.215|32:0.000|35:0.177|37:0.037|38:0.214
