game_id,scenario,team,individual_payoffs,team_payoff,steps
0,chain_reaction,"['evolved_v6', 'firefighter', 'firefighter', 'free_rider']","[-69.9999988079071, -54.39999896287918, -57.999998927116394, 48.80000001192093]",-33.39999917149544,100
1,chain_reaction,"['hero', 'evolved_v6', 'evolved_v6', 'firefighter']","[-13.29999977350235, -13.29999977350235, -13.29999977350235, -10.899999797344208]",-12.699999779462814,19
2,chain_reaction,"['hero', 'free_rider', 'free_rider', 'hero']","[-69.9999988079071, 47.60000002384186, 47.60000002384186, -69.9999988079071]",-11.199999392032623,100
3,chain_reaction,"['hero', 'coordinator', 'evolved_v6', 'coordinator']","[-11.199999809265137, -3.9999998807907104, -11.199999809265137, -3.9999998807907104]",-7.599999845027924,16
4,chain_reaction,"['firefighter', 'evolved_v6', 'coordinator', 'firefighter']","[-10.699999809265137, -11.899999797344208, 1.3000000715255737, -9.499999821186066]",-7.699999839067459,17
5,chain_reaction,"['firefighter', 'firefighter', 'firefighter', 'firefighter']","[-8.799999833106995, -11.199999809265137, -8.799999833106995, -6.3999998569488525]",-8.799999833106995,16
6,chain_reaction,"['free_rider', 'hero', 'coordinator', 'firefighter']","[47.60000002384186, -69.9999988079071, 0.8000004887580872, -59.199998915195465]",-20.199999302625656,100
7,chain_reaction,"['coordinator', 'free_rider', 'coordinator', 'hero']","[-2.799999475479126, 48.80000001192093, -3.999999463558197, -69.9999988079071]",-6.999999433755875,100
8,chain_reaction,"['evolved_v6', 'firefighter', 'firefighter', 'evolved_v6']","[-11.199999809265137, -6.3999998569488525, -9.999999821186066, -11.199999809265137]",-9.699999824166298,16
9,chain_reaction,"['coordinator', 'firefighter', 'hero', 'coordinator']","[-13.599999368190765, -59.199998915195465, -69.9999988079071, -3.999999463558197]",-36.69999913871288,100
10,chain_reaction,"['firefighter', 'firefighter', 'firefighter', 'coordinator']","[-59.199998915195465, -60.399998903274536, -62.79999887943268, -20.79999929666519]",-50.79999899864197,100
11,chain_reaction,"['free_rider', 'evolved_v6', 'free_rider', 'evolved_v6']","[8.0, -11.199999809265137, 8.0, -11.199999809265137]",-1.5999999046325684,16
12,chain_reaction,"['firefighter', 'coordinator', 'free_rider', 'firefighter']","[-8.799999833106995, -0.3999999165534973, 6.800000011920929, -8.799999833106995]",-2.7999998927116394,16
13,chain_reaction,"['coordinator', 'free_rider', 'firefighter', 'evolved_v6']","[-13.599999368190765, 45.200000047683716, -56.79999893903732, -69.9999988079071]",-23.79999926686287,100
14,chain_reaction,"['hero', 'evolved_v6', 'coordinator', 'hero']","[-69.9999988079071, -69.9999988079071, -11.199999392032623, -69.9999988079071]",-55.299998953938484,100
15,chain_reaction,"['firefighter', 'hero', 'coordinator', 'free_rider']","[-9.999999821186066, -11.199999809265137, -5.1999998688697815, 8.0]",-4.599999874830246,16
16,chain_reaction,"['firefighter', 'firefighter', 'hero', 'firefighter']","[-11.199999809265137, -8.799999833106995, -11.199999809265137, -9.999999821186066]",-10.299999818205833,16
17,chain_reaction,"['coordinator', 'firefighter', 'firefighter', 'coordinator']","[2.000000476837158, -53.19999897480011, -60.399998903274536, -6.399999439716339]",-29.499999210238457,100
18,chain_reaction,"['evolved_v6', 'evolved_v6', 'evolved_v6', 'free_rider']","[-69.9999988079071, -69.9999988079071, -69.9999988079071, 46.40000003576279]",-40.89999909698963,100
19,chain_reaction,"['hero', 'firefighter', 'hero', 'hero']","[-11.199999809265137, -8.799999833106995, -11.199999809265137, -11.199999809265137]",-10.599999815225601,16
20,chain_reaction,"['coordinator', 'coordinator', 'evolved_v6', 'free_rider']","[1.3000000715255737, 2.5000000596046448, -11.899999797344208, 8.5]",0.10000008344650269,17
