game_id,scenario,team,individual_payoffs,team_payoff,steps
0,easy,"['evolved_v6', 'firefighter', 'firefighter', 'free_rider']","[-3.5, -3.5, -4.5, 5.5]",-1.5,11
1,easy,"['hero', 'evolved_v6', 'evolved_v6', 'firefighter']","[-5.5, -2.5, -2.5, -3.5]",-3.5,11
2,easy,"['hero', 'free_rider', 'free_rider', 'hero']","[-5.5, 5.5, 5.5, -5.5]",0.0,11
3,easy,"['hero', 'coordinator', 'evolved_v6', 'coordinator']","[-5.5, 2.5, -3.5, -2.5]",-2.25,11
4,easy,"['firefighter', 'evolved_v6', 'coordinator', 'firefighter']","[-5.0, -4.0, 2.0, -4.0]",-2.75,12
5,easy,"['firefighter', 'firefighter', 'firefighter', 'firefighter']","[-4.5, -5.5, -5.5, -1.5]",-4.25,11
6,easy,"['free_rider', 'hero', 'coordinator', 'firefighter']","[5.5, -5.5, 1.5, -1.5]",0.0,11
7,easy,"['coordinator', 'free_rider', 'coordinator', 'hero']","[-0.5, 5.5, 0.5, -5.5]",0.0,11
8,easy,"['evolved_v6', 'firefighter', 'firefighter', 'evolved_v6']","[-3.5, -1.5, -4.5, -4.5]",-3.5,11
9,easy,"['coordinator', 'firefighter', 'hero', 'coordinator']","[0.5, -4.5, -5.5, 2.5]",-1.75,11
10,easy,"['firefighter', 'firefighter', 'firefighter', 'coordinator']","[-4.5, -5.5, -4.5, 4.5]",-2.5,11
11,easy,"['free_rider', 'evolved_v6', 'free_rider', 'evolved_v6']","[5.5, -3.5, 5.5, -0.5]",1.75,11
12,easy,"['firefighter', 'coordinator', 'free_rider', 'firefighter']","[-4.0, 3.0, 5.0, -4.0]",0.0,12
13,easy,"['coordinator', 'free_rider', 'firefighter', 'evolved_v6']","[-0.5, 5.5, -4.5, 0.5]",0.25,11
14,easy,"['hero', 'evolved_v6', 'coordinator', 'hero']","[-5.5, -1.5, 2.5, -5.5]",-2.5,11
15,easy,"['firefighter', 'hero', 'coordinator', 'free_rider']","[-4.5, -5.5, -2.5, 5.5]",-1.75,11
16,easy,"['firefighter', 'firefighter', 'hero', 'firefighter']","[-5.5, -3.5, -5.5, -5.5]",-5.0,11
17,easy,"['coordinator', 'firefighter', 'firefighter', 'coordinator']","[-2.5, -4.5, -4.5, 1.5]",-2.5,11
18,easy,"['evolved_v6', 'evolved_v6', 'evolved_v6', 'free_rider']","[-18.0, -11.0, -13.0, 46.0]",1.0,100
19,easy,"['hero', 'firefighter', 'hero', 'hero']","[-5.5, -4.5, -5.5, -5.5]",-5.25,11
20,easy,"['coordinator', 'coordinator', 'evolved_v6', 'free_rider']","[0.5, 3.5, -1.5, 5.5]",2.0,11
21,easy,"['free_rider', 'firefighter', 'firefighter', 'evolved_v6']","[5.5, -4.5, -5.5, -0.5]",-1.25,11
22,easy,"['coordinator', 'coordinator', 'firefighter', 'hero']","[-1.0, 2.0, -6.0, -6.0]",-2.75,12
23,easy,"['hero', 'evolved_v6', 'free_rider', 'coordinator']","[-5.5, -2.5, 4.5, -0.5]",-1.0,11
24,easy,"['evolved_v6', 'free_rider', 'hero', 'free_rider']","[-9.0, 47.0, -50.0, 46.0]",8.5,100
25,easy,"['hero', 'hero', 'evolved_v6', 'firefighter']","[-5.5, -5.5, -3.5, -2.5]",-4.25,11
26,easy,"['firefighter', 'firefighter', 'hero', 'evolved_v6']","[-3.5, -4.5, -5.5, -2.5]",-4.0,11
27,easy,"['coordinator', 'coordinator', 'hero', 'evolved_v6']","[1.5, 1.5, -5.5, -0.5]",-0.75,11
28,easy,"['coordinator', 'evolved_v6', 'hero', 'free_rider']","[11.0, -19.0, -50.0, 46.0]",-3.0,100
29,easy,"['coordinator', 'free_rider', 'free_rider', 'free_rider']","[-0.5, 5.5, 5.5, 5.5]",4.0,11
30,easy,"['coordinator', 'free_rider', 'hero', 'hero']","[1.5, 5.5, -5.5, -5.5]",-1.0,11
31,easy,"['firefighter', 'evolved_v6', 'evolved_v6', 'hero']","[-5.5, -2.5, -1.5, -5.5]",-3.75,11
32,easy,"['evolved_v6', 'free_rider', 'evolved_v6', 'evolved_v6']","[-0.5, 5.5, -3.5, -0.5]",0.25,11
33,easy,"['coordinator', 'evolved_v6', 'firefighter', 'free_rider']","[8.0, -20.0, -39.0, 49.0]",-0.5,100
34,easy,"['hero', 'free_rider', 'coordinator', 'hero']","[-5.5, 5.5, 0.5, -5.5]",-1.25,11
35,easy,"['free_rider', 'coordinator', 'evolved_v6', 'evolved_v6']","[5.5, -1.5, -0.5, -2.5]",0.25,11
36,easy,"['firefighter', 'hero', 'coordinator', 'evolved_v6']","[-4.5, -5.5, -0.5, -4.5]",-3.75,11
37,easy,"['evolved_v6', 'free_rider', 'coordinator', 'evolved_v6']","[-3.5, 4.5, -0.5, -2.5]",-0.5,11
