game_id,scenario,team,individual_payoffs,team_payoff,steps
0,hard,"['evolved_v6', 'firefighter', 'firefighter', 'free_rider']","[-50.0, -39.0, -43.0, 50.0]",-20.5,100
1,hard,"['hero', 'evolved_v6', 'evolved_v6', 'firefighter']","[-29.0, -29.0, -29.0, -22.0]",-27.25,58
2,hard,"['hero', 'free_rider', 'free_rider', 'hero']","[-50.0, 47.0, 49.0, -50.0]",-1.0,100
3,hard,"['hero', 'coordinator', 'evolved_v6', 'coordinator']","[-8.0, -2.0, -8.0, -2.0]",-5.0,16
4,hard,"['firefighter', 'evolved_v6', 'coordinator', 'firefighter']","[-36.0, -50.0, 7.0, -41.0]",-30.0,100
5,hard,"['firefighter', 'firefighter', 'firefighter', 'firefighter']","[-43.0, -41.0, -37.0, -38.0]",-39.75,100
6,hard,"['free_rider', 'hero', 'coordinator', 'firefighter']","[49.0, -50.0, 0.0, -37.0]",-9.5,100
7,hard,"['coordinator', 'free_rider', 'coordinator', 'hero']","[-9.0, 49.0, -1.0, -50.0]",-2.75,100
8,hard,"['evolved_v6', 'firefighter', 'firefighter', 'evolved_v6']","[-50.0, -37.0, -42.0, -50.0]",-44.75,100
9,hard,"['coordinator', 'firefighter', 'hero', 'coordinator']","[-7.0, -43.0, -50.0, 10.0]",-22.5,100
10,hard,"['firefighter', 'firefighter', 'firefighter', 'coordinator']","[-33.5, -34.5, -33.5, -4.5]",-26.5,75
11,hard,"['free_rider', 'evolved_v6', 'free_rider', 'evolved_v6']","[48.0, -50.0, 50.0, -50.0]",-0.5,100
12,hard,"['firefighter', 'coordinator', 'free_rider', 'firefighter']","[-25.5, 3.5, 31.5, -23.5]",-3.5,65
13,hard,"['coordinator', 'free_rider', 'firefighter', 'evolved_v6']","[2.5, 45.5, -38.5, -47.5]",-9.5,95
14,hard,"['hero', 'evolved_v6', 'coordinator', 'hero']","[-50.0, -50.0, -1.0, -50.0]",-37.75,100
15,hard,"['firefighter', 'hero', 'coordinator', 'free_rider']","[-41.0, -50.0, 0.0, 48.0]",-10.75,100
