game_id,scenario,team,individual_payoffs,team_payoff,steps
0,trivial_cooperation,"['evolved_v6', 'firefighter', 'firefighter', 'free_rider']","[6.5, -5.5, -5.5, 6.5]",0.5,13
1,trivial_cooperation,"['hero', 'evolved_v6', 'evolved_v6', 'firefighter']","[-6.5, 6.5, 6.5, -6.5]",0.0,13
2,trivial_cooperation,"['hero', 'free_rider', 'free_rider', 'hero']","[-6.5, 6.5, 6.5, -6.5]",0.0,13
3,trivial_cooperation,"['hero', 'coordinator', 'evolved_v6', 'coordinator']","[-6.5, 2.5, 6.5, -3.5]",-0.25,13
4,trivial_cooperation,"['firefighter', 'evolved_v6', 'coordinator', 'firefighter']","[-5.5, 6.5, 2.5, -4.5]",-0.25,13
5,trivial_cooperation,"['firefighter', 'firefighter', 'firefighter', 'firefighter']","[-5.5, -6.5, -5.5, -2.5]",-5.0,13
6,trivial_cooperation,"['free_rider', 'hero', 'coordinator', 'firefighter']","[6.5, -6.5, 2.5, -2.5]",0.0,13
7,trivial_cooperation,"['coordinator', 'free_rider', 'coordinator', 'hero']","[-1.5, 6.5, -0.5, -6.5]",-0.5,13
8,trivial_cooperation,"['evolved_v6', 'firefighter', 'firefighter', 'evolved_v6']","[6.5, -2.5, -4.5, 6.5]",1.5,13
9,trivial_cooperation,"['coordinator', 'firefighter', 'hero', 'coordinator']","[2.5, -5.5, -6.5, 0.5]",-2.25,13
10,trivial_cooperation,"['firefighter', 'firefighter', 'firefighter', 'coordinator']","[-5.5, -6.5, -5.5, 4.5]",-3.25,13
11,trivial_cooperation,"['free_rider', 'evolved_v6', 'free_rider', 'evolved_v6']","[6.5, 6.5, 5.5, 6.5]",6.25,13
12,trivial_cooperation,"['firefighter', 'coordinator', 'free_rider', 'firefighter']","[-4.5, 2.5, 5.5, -4.5]",-0.25,13
13,trivial_cooperation,"['coordinator', 'free_rider', 'firefighter', 'evolved_v6']","[-0.5, 6.5, -5.5, 6.5]",1.75,13
14,trivial_cooperation,"['hero', 'evolved_v6', 'coordinator', 'hero']","[-6.5, 6.5, 1.5, -6.5]",-1.25,13
15,trivial_cooperation,"['firefighter', 'hero', 'coordinator', 'free_rider']","[-5.5, -6.5, -1.5, 6.5]",-1.75,13
16,trivial_cooperation,"['firefighter', 'firefighter', 'hero', 'firefighter']","[-5.5, -4.5, -6.5, -6.5]",-5.75,13
17,trivial_cooperation,"['coordinator', 'firefighter', 'firefighter', 'coordinator']","[2.5, -6.5, -4.5, -0.5]",-2.25,13
18,trivial_cooperation,"['evolved_v6', 'evolved_v6', 'evolved_v6', 'free_rider']","[6.5, 6.5, 6.5, 6.5]",6.5,13
19,trivial_cooperation,"['hero', 'firefighter', 'hero', 'hero']","[-6.5, -4.5, -6.5, -6.5]",-6.0,13
20,trivial_cooperation,"['coordinator', 'coordinator', 'evolved_v6', 'free_rider']","[0.5, 3.5, 6.5, 6.5]",4.25,13
21,trivial_cooperation,"['free_rider', 'firefighter', 'firefighter', 'evolved_v6']","[6.5, -5.5, -6.5, 6.5]",0.25,13
22,trivial_cooperation,"['coordinator', 'coordinator', 'firefighter', 'hero']","[-1.5, 1.5, -6.5, -6.5]",-3.25,13
23,trivial_cooperation,"['hero', 'evolved_v6', 'free_rider', 'coordinator']","[-6.5, 6.5, 5.5, -0.5]",1.25,13
24,trivial_cooperation,"['evolved_v6', 'free_rider', 'hero', 'free_rider']","[6.5, 6.5, -6.5, 5.5]",3.0,13
25,trivial_cooperation,"['hero', 'hero', 'evolved_v6', 'firefighter']","[-6.5, -6.5, 6.5, -4.5]",-2.75,13
26,trivial_cooperation,"['firefighter', 'firefighter', 'hero', 'evolved_v6']","[-3.5, -4.5, -6.5, 6.5]",-2.0,13
27,trivial_cooperation,"['coordinator', 'coordinator', 'hero', 'evolved_v6']","[0.5, 5.5, -6.5, 6.5]",1.5,13
28,trivial_cooperation,"['coordinator', 'evolved_v6', 'hero', 'free_rider']","[1.5, 6.5, -6.5, 6.5]",2.0,13
29,trivial_cooperation,"['coordinator', 'free_rider', 'free_rider', 'free_rider']","[-1.5, 6.5, 6.5, 6.5]",4.5,13
30,trivial_cooperation,"['coordinator', 'free_rider', 'hero', 'hero']","[0.5, 6.5, -6.5, -6.5]",-1.5,13
31,trivial_cooperation,"['firefighter', 'evolved_v6', 'evolved_v6', 'hero']","[-6.5, 6.5, 6.5, -6.5]",0.0,13
32,trivial_cooperation,"['evolved_v6', 'free_rider', 'evolved_v6', 'evolved_v6']","[6.5, 6.5, 6.5, 6.5]",6.5,13
33,trivial_cooperation,"['coordinator', 'evolved_v6', 'firefighter', 'free_rider']","[0.5, 6.5, -3.5, 6.5]",2.5,13
34,trivial_cooperation,"['hero', 'free_rider', 'coordinator', 'hero']","[-6.5, 6.5, 0.5, -6.5]",-1.5,13
35,trivial_cooperation,"['free_rider', 'coordinator', 'evolved_v6', 'evolved_v6']","[6.5, -2.5, 6.5, 6.5]",4.25,13
36,trivial_cooperation,"['firefighter', 'hero', 'coordinator', 'evolved_v6']","[-5.5, -6.5, 0.5, 6.5]",-1.25,13
37,trivial_cooperation,"['evolved_v6', 'free_rider', 'coordinator', 'evolved_v6']","[6.5, 5.5, 0.5, 6.5]",4.75,13
38,trivial_cooperation,"['evolved_v6', 'hero', 'hero', 'firefighter']","[6.5, -6.5, -6.5, -5.5]",-3.0,13
39,trivial_cooperation,"['coordinator', 'evolved_v6', 'coordinator', 'coordinator']","[1.5, 6.5, 2.5, 1.5]",3.0,13
40,trivial_cooperation,"['evolved_v6', 'coordinator', 'coordinator', 'coordinator']","[6.5, 1.5, 2.5, 0.5]",2.75,13
41,trivial_cooperation,"['evolved_v6', 'hero', 'firefighter', 'hero']","[6.5, -6.5, -5.5, -6.5]",-3.0,13
42,trivial_cooperation,"['evolved_v6', 'evolved_v6', 'firefighter', 'coordinator']","[6.5, 6.5, -4.5, 1.5]",2.5,13
43,trivial_cooperation,"['firefighter', 'free_rider', 'free_rider', 'free_rider']","[-4.5, 6.5, 5.5, 6.5]",3.5,13
44,trivial_cooperation,"['evolved_v6', 'firefighter', 'coordinator', 'hero']","[6.5, -6.5, 1.5, -6.5]",-1.25,13
45,trivial_cooperation,"['free_rider', 'evolved_v6', 'hero', 'hero']","[6.5, 6.5, -6.5, -6.5]",0.0,13
46,trivial_cooperation,"['evolved_v6', 'hero', 'coordinator', 'evolved_v6']","[6.5, -6.5, -2.5, 6.5]",1.0,13
47,trivial_cooperation,"['free_rider', 'firefighter', 'evolved_v6', 'coordinator']","[5.5, -4.5, 6.5, -2.5]",1.25,13
48,trivial_cooperation,"['hero', 'evolved_v6', 'evolved_v6', 'free_rider']","[-6.5, 6.5, 6.5, 6.5]",3.25,13
49,trivial_cooperation,"['coordinator', 'firefighter', 'free_rider', 'firefighter']","[1.5, -5.5, 6.5, -4.5]",-0.5,13
50,trivial_cooperation,"['evolved_v6', 'free_rider', 'hero', 'coordinator']","[6.5, 6.5, -6.5, -1.5]",1.25,13
51,trivial_cooperation,"['evolved_v6', 'free_rider', 'hero', 'evolved_v6']","[6.5, 6.5, -6.5, 6.5]",3.25,13
52,trivial_cooperation,"['hero', 'evolved_v6', 'firefighter', 'evolved_v6']","[-6.5, 6.5, -6.5, 6.5]",0.0,13
53,trivial_cooperation,"['firefighter', 'evolved_v6', 'coordinator', 'free_rider']","[-6.5, 6.5, -2.5, 6.5]",1.0,13
54,trivial_cooperation,"['free_rider', 'hero', 'coordinator', 'evolved_v6']","[5.5, -6.5, -0.5, 6.5]",1.25,13
55,trivial_cooperation,"['firefighter', 'coordinator', 'free_rider', 'evolved_v6']","[-3.5, 1.5, 6.5, 6.5]",2.75,13
56,trivial_cooperation,"['free_rider', 'free_rider', 'firefighter', 'free_rider']","[6.5, 6.5, -4.5, 5.5]",3.5,13
57,trivial_cooperation,"['hero', 'firefighter', 'coordinator', 'evolved_v6']","[-6.5, -6.5, -0.5, 6.5]",-1.75,13
58,trivial_cooperation,"['coordinator', 'evolved_v6', 'firefighter', 'evolved_v6']","[0.5, 6.5, -5.5, 6.5]",2.0,13
59,trivial_cooperation,"['evolved_v6', 'hero', 'free_rider', 'hero']","[6.5, -6.5, 6.5, -6.5]",0.0,13
60,trivial_cooperation,"['evolved_v6', 'coordinator', 'coordinator', 'hero']","[6.5, -0.5, 2.5, -6.5]",0.5,13
