game_id,scenario,team,individual_payoffs,team_payoff,steps
0,deceptive_calm,"['firefighter', 'hero', 'hero', 'evolved_v3']","[-30.10000053048134, -40.00000059604645, -40.00000059604645, 50.0]",-15.025000430643559,100
1,trivial_cooperation,"['firefighter', 'coordinator', 'firefighter', 'free_rider']","[-4.5, 3.5, -5.5, 6.5]",0.0,13
2,trivial_cooperation,"['evolved', 'evolved', 'evolved_v3', 'evolved_v3']","[0.5, 0.5, 6.5, 6.5]",3.5,13
3,rest_trap,"['free_rider', 'evolved', 'evolved_v4', 'firefighter']","[6.5, 3.699999988079071, 6.5, -2.600000038743019]",3.524999987334013,13
4,early_containment,"['evolved_v3', 'coordinator', 'free_rider', 'evolved_v5']","[50.0, 1.0, 49.0, 50.0]",37.5,100
5,overcrowding,"['firefighter', 'coordinator', 'coordinator', 'coordinator']","[-7.300000309944153, -1.8000001907348633, -0.7000001668930054, 1.4999998807907104]",-2.0750001966953278,14
6,mixed_motivation,"['evolved_v4', 'evolved_v3', 'liar', 'evolved_v5']","[38.5, 38.5, -8.344650268554688e-07, 38.5]",28.874999791383743,77
7,rest_trap,"['firefighter', 'hero', 'evolved', 'evolved_v4']","[-1.2000000327825546, -2.600000038743019, 1.5999999791383743, 6.5]",1.0749999769032001,13
8,overcrowding,"['evolved', 'evolved_v3', 'firefighter', 'hero']","[0.9999998807907104, 6.5, -7.800000309944153, -7.800000309944153]",-2.025000184774399,13
9,mixed_motivation,"['evolved_v5', 'evolved_v4', 'evolved_v4', 'coordinator']","[50.0, 50.0, 50.0, -3.9000011682510376]",36.52499970793724,100
10,sparse_heroics,"['evolved', 'coordinator', 'coordinator', 'free_rider']","[-2.0000001192092896, -4.6000001430511475, -4.6000001430511475, 11.0]",-0.05000010132789612,22
11,mixed_motivation,"['evolved_v3', 'evolved_v3', 'firefighter', 'evolved']","[8.0, 8.0, -9.600000381469727, 0.29999983310699463]",1.674999862909317,16
12,trivial_cooperation,"['evolved_v3', 'free_rider', 'coordinator', 'evolved_v5']","[6.5, 6.5, -2.5, 6.5]",4.25,13
13,trivial_cooperation,"['free_rider', 'hero', 'evolved_v3', 'firefighter']","[4.5, -6.5, 6.5, -3.5]",0.25,13
14,chain_reaction,"['evolved_v4', 'coordinator', 'firefighter', 'evolved_v5']","[50.0, -7.59999942779541, -56.79999893903732, 50.0]",8.900000408291817,100
15,overcrowding,"['free_rider', 'liar', 'evolved_v4', 'evolved']","[46.699999928474426, 8.1999990940094, 50.0, 1.599998950958252]",26.62499949336052,100
16,early_containment,"['hero', 'hero', 'evolved', 'hero']","[-6.5, -6.5, -1.5, -6.5]",-5.25,13
17,rest_trap,"['evolved_v5', 'coordinator', 'free_rider', 'evolved_v5']","[50.0, 25.49999989569187, 50.0, 50.0]",43.87499997392297,100
18,trivial_cooperation,"['liar', 'evolved_v3', 'evolved_v4', 'free_rider']","[-0.5, 6.5, 6.5, 6.5]",4.75,13
19,early_containment,"['evolved_v4', 'coordinator', 'firefighter', 'coordinator']","[50.0, -2.0, -40.0, 3.0]",2.75,100
20,sparse_heroics,"['liar', 'evolved_v5', 'evolved_v4', 'firefighter']","[2.6999999284744263, 10.5, 10.5, -15.500000238418579]",2.049999922513962,21
21,deceptive_calm,"['evolved_v3', 'liar', 'hero', 'evolved']","[50.0, 5.899999707937241, -40.00000059604645, 11.299999743700027]",6.799999713897705,100
22,deceptive_calm,"['hero', 'free_rider', 'firefighter', 'evolved_v3']","[-40.00000059604645, 49.099999994039536, -29.200000524520874, 50.0]",7.474999718368053,100
23,mixed_motivation,"['evolved_v5', 'evolved_v3', 'liar', 'firefighter']","[50.0, 50.0, -5.0000011920928955, -51.20000219345093]",10.949999153614044,100
24,mixed_motivation,"['evolved_v4', 'liar', 'free_rider', 'coordinator']","[50.0, 4.899999022483826, 47.799999952316284, -5.0000011920928955]",24.424999445676804,100
25,early_containment,"['liar', 'evolved_v4', 'liar', 'firefighter']","[18.0, 50.0, 7.0, -43.0]",8.0,100
26,overcrowding,"['liar', 'free_rider', 'coordinator', 'evolved_v5']","[3.7999989986419678, 50.0, -5.0000011920928955, 50.0]",24.699999451637268,100
27,mixed_motivation,"['hero', 'hero', 'evolved', 'firefighter']","[-60.00000238418579, -60.00000238418579, -3.9000011682510376, -46.800002098083496]",-42.67500200867653,100
28,sparse_heroics,"['evolved_v4', 'evolved_v5', 'liar', 'free_rider']","[50.0, 50.0, -4.600000500679016, 50.0]",36.349999874830246,100
29,sparse_heroics,"['evolved_v5', 'free_rider', 'liar', 'evolved']","[50.0, 47.39999997615814, -12.40000057220459, -12.40000057220459]",18.14999970793724,100
30,greedy_neighbor,"['evolved_v5', 'evolved_v3', 'evolved_v3', 'evolved_v3']","[50.0, 50.0, 50.0, 50.0]",50.0,100
